items,price,category
Spicy/Mild Jumbo Samosa,$0.80,Indian Street Snacks
Khasta Kachori,$2.00,Indian Street Snacks
Raj Kachori,$2.50,Indian Street Snacks
Noodle spring roll,$2.00,Indian Street Snacks
Manchurian Noodle Spring Roll,$2.00,Indian Street Snacks
Jumbo Aloo Vada (Potato ball),$1.25,Indian Street Snacks
Aloo Tikki,$1.25,Indian Street Snacks
Flavor-Packed Dabeli,$2.50,Indian Street Snacks
Classic Green Vada Pav,$2.50,Indian Street Snacks
Spicy Red Vada Pav,$2.50,Indian Street Snacks
Crispy Aloo Tikki Burger,$3.00,Indian Street Snacks
Spiced Chole & Fluffy Kulcha,$3.00,Indian Street Snacks
Stuffed Paneer Kulcha,$3.00,Indian Street Snacks
Manchurian Puff,$2.00,Puff Mania
Mix Veg Puff,$2.00,Puff Mania
Pizza Puff,$2.00,Puff Mania
Aloo Puff,$2.00,Puff Mania
Paneer Puff,$2.00,Puff Mania
Paneer Chilli Puff,$2.00,Puff Mania
Assorted Puffs,$2.00,Puff Mania
Methi Thepla 5pcs,$4.50,Handmade Parathas/Theplas/Flat Breads
Dudhi Thepla 5pcs,$4.50,Handmade Parathas/Theplas/Flat Breads
Garlic Thepla 5pcs,$4.50,Handmade Parathas/Theplas/Flat Breads
Spicy Thepla 5pcs,$4.50,Handmade Parathas/Theplas/Flat Breads
Palak thepla 5pcs,$4.50,Handmade Parathas/Theplas/Flat Breads
Methi roti 5pcs,$4.50,Handmade Parathas/Theplas/Flat Breads
Masala roti 5pcs,$4.50,Handmade Parathas/Theplas/Flat Breads
Whole Wht.  Roti/Chapati 10pcs,$5.00,Handmade Parathas/Theplas/Flat Breads
Whole Wheat Paratha 5pcs,$5.00,Handmade Parathas/Theplas/Flat Breads
Aloo Paratha 3pcs,$6.00,Handmade Parathas/Theplas/Flat Breads
Gobi Paratha 3pcs,$6.00,Handmade Parathas/Theplas/Flat Breads
Vanilla cream roll 4pcs,$4.00,Bakery
Pista cream roll  4pcs,$4.00,Bakery
Strawberry cream Roll 4pcs,$4.00,Bakery
Pineapple cream Roll 4pcs,$4.00,Bakery
Chocolate cream roll 4pcs,$4.00,Bakery
Orange cream roll 4pcs,$4.00,Bakery
Plain Khari 200gms,$4.00,Bakery
Zeera khari 200gms,$4.00,Bakery
Methi khari 200gms,$4.00,Bakery
Garlic Khari 200gms,$4.00,Bakery
Masala khari 200gms,$4.00,Bakery
Sweet Khari 200gms,$4.00,Bakery
Bakar khani 250gms,$4.00,Bakery
Sweet Creation 150gms,$4.50,Bakery
Pav Bhaji Buns 12pcs,$3.00,Bakery
Big Kulcha Bread 5pcs,$4.00,Bakery
Small Kulcha Bread 12pcs,$9.00,Bakery
Jumbo Dabeli Bun 12 pcs,$5.00,Bakery
Choco Walnut Brownie,$2.50,Bakery
Assorted pastry,$2.50,Bakery
Black Forest Pastry Twinpack,$4.50,Bakery
Pineapple Pastry Twinpack,$4.50,Bakery
Paneer Tikka roll,$3.00,Wraps & More
Manchurian frankie,$3.00,Wraps & More
Dhokla bulk 1lb pack,$6.00,Classic & Spicy Dhokla
Tum Tum spicy dhokla 1lb pack,$6.00,Classic & Spicy Dhokla
Jumbo Bhallay/Dahi vada,$0.50 Each,Savory Jumbo Bhallay
Veggie Sandwich,$3.00,Sandwitches
Assorted Sandwiches,$3.00,Sandwitches
